iter	MultiClass
747	0.3185513292
748	0.3184372196
749	0.3183615995
750	0.3181416127
751	0.3180228296
752	0.3178139259
753	0.3175340955
754	0.3173594036
755	0.3172437849
756	0.3171159988
757	0.3169082248
758	0.3168368121
759	0.3167263063
760	0.3166119755
761	0.3164358042
762	0.3163762128
763	0.3162299165
764	0.3160748754
765	0.3159445592
766	0.3157752716
767	0.3156303885
768	0.3155006168
769	0.3153506335
770	0.3152251423
771	0.3150943806
772	0.3149768858
773	0.3148954577
774	0.3147466358
775	0.3145669464
776	0.3143884127
777	0.3142525576
778	0.3141641022
779	0.3141082154
780	0.3140289917
781	0.3139206299
782	0.3138010855
783	0.313665044
784	0.3135930869
785	0.3134099257
786	0.313343883
787	0.3132463366
788	0.3129897255
789	0.3128916915
790	0.3127898304
791	0.3126781046
792	0.3124558994
793	0.3123399578
794	0.3122084349
795	0.3120669156
796	0.3119496515
797	0.3118151479
798	0.3116789495
799	0.3115947175
800	0.3114765446
801	0.3113581796
802	0.3112726125
803	0.3112078707
804	0.3110962347
805	0.310933744
806	0.31083039
807	0.3107794618
808	0.3106586053
809	0.310533955
810	0.3104788396
811	0.3104048997
812	0.3103045894
813	0.3102206107
814	0.3100807552
815	0.3099909235
816	0.3098826512
817	0.3097802535
818	0.3096692993
819	0.3095573292
820	0.3093593046
821	0.3091710404
822	0.3090352406
823	0.3089204461
824	0.3087952494
825	0.3086364459
826	0.3084805194
827	0.3083711366
828	0.3082290817
829	0.3080930289
830	0.3080013885
831	0.3078588699
832	0.3076831073
833	0.3075697662
834	0.3073972887
835	0.3072765571
836	0.3071774259
837	0.3070561918
838	0.3069825771
839	0.3068168925
840	0.3066286914
841	0.3064319719
842	0.306272252
843	0.3062313735
844	0.3061430108
845	0.3059622594
846	0.305870901
847	0.30576373
848	0.3056468893
849	0.3055092583
850	0.3053427255
851	0.3051016062
852	0.3050178186
853	0.3047753838
854	0.304668904
855	0.3045974347
856	0.3044333205
857	0.3043739377
858	0.3042923822
859	0.3042147469
860	0.3041739587
861	0.3039552512
862	0.3038866991
863	0.3037768115
864	0.3036382299
865	0.3035439037
866	0.3034877869
867	0.3033392114
868	0.3032548762
869	0.3031342703
870	0.3029060919
871	0.3027635457
872	0.3026486741
873	0.3025201551
874	0.3023678669
875	0.3022868839
876	0.3021911949
877	0.3020819672
878	0.3020026459
879	0.301910107
880	0.3017769795
881	0.3016139516
882	0.3014138156
883	0.3013339855
884	0.3012369541
885	0.3011092896
886	0.3010134
887	0.3007903103
888	0.3006356705
889	0.3004916222
890	0.3004003494
891	0.3002043217
892	0.300099405
893	0.300028495
894	0.2999622765
895	0.299824831
896	0.299659325
897	0.2995469367
898	0.2994282672
899	0.2993374034
900	0.2992608077
901	0.2991891408
902	0.2991254445
903	0.2990167448
904	0.2989376326
905	0.2988745633
906	0.29868106
907	0.2984782066
908	0.2983648161
909	0.2982248243
910	0.298053154
911	0.2979339856
912	0.2978503073
913	0.297771129
914	0.297699962
915	0.2976419857
916	0.2975667762
917	0.2974424566
918	0.2973409132
919	0.2971180903
920	0.297021714
921	0.2968755108
922	0.2967513643
923	0.2966626874
924	0.296605105
